Subject,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q3,Q3_Fixed,Q4,Q4_Fixed,Q5,Q5_means (reading disorder question),Q6,Q6_means (working as a developer question),Q7,Q7_means (undergraduate student question),Q8,Q8_means (graduate student question),Q9_1,Q9_1_means (knowledge about English),Q9_2,Q9_1_means (knowledge about Java programming),Q10_1,Q10_means (number of years you have been programming in:-Any language),Q10_2,Q10_means (number of years you have been programming in:-Java),Q11,Q11_means (working as a professional programmer),Q12,Q13_1,Q13_2,Q13_3,P1_Filter_Valid,P1_Solution,P1_Rule,P1_Correct,P1_Filtered,Q13_4,Q14,Q15_1,Q15_2,Q15_3,P1_Filter_Valid_AT,Q15_4,Q16,P1_readability,Q17,P1_correctness,Q18,P1_confidence_level,Q19,Q19_means (Is the method you just saw logically correct),Q20,Q21_1,Q21_2,Q21_3,P2_Filter_Valid,P2_Solution,Q21_4,Q22,Q23_1,Q23_2,Q23_3,P2_Filter_Valid_AT,Q23_4,Q24,P2_readability,Q25,P2_correctness,Q26,P2_confidence_level,Q27,Q27_means (Is the method you just saw logically correct),Q28,Q29_1,Q29_2,Q29_3,P3_Filter_Valid,P3_Solution,Q29_4,Q30,Q31_1,Q31_2,Q31_3,P3_Filter_Valid_AT,Q31_4,Q32,P3_readability,Q33,P3_correctness,Q34,P3_confidence_level,Q35,Q35_means (Is the method you just saw logically correct),Q36,Q37_1,Q37_2,Q37_3,P4_Filter_Valid,P4_Solution,Q37_4,Q38,Q39_1,Q39_2,Q39_3,P4_Filter_Valid_AT,Q39_4,Q40,P4_readability,Q41,P4_correctness,Q42,P4_confidence_level,Q43,Q43_means (Is the method you just saw logically correct),Q44,Q45_1,Q45_2,Q45_3,P1_Filter_Valid_R2,P1_Solution_R2,Q45_4,Q46,Q47_1,Q47_2,Q47_3,P1_Filter_Valid_AT_R2,Q47_4,Q48,P1_readability_R2,Q49,P1_correctness_R2,Q50,P1_confidence_level_R2,Q51,Q51_means (Is the method you just saw logically correct),Q52,Q53_1,Q53_2,Q53_3,P2_Filter_Valid_R2,P2_Solution_R2,Q53_4,Q54,Q55_1,Q55_2,Q55_3,P2_Filter_Valid_AT_R2,Q55_4,Q56,P2_readability_R2,Q57,P2_correctness_R2,Q58,P2_confidence_level_R2,Q59,Q59_means (Is the method you just saw logically correct),Q60,Q61_1,Q61_2,Q61_3,P3_Filter_Valid_R2,P3_Solution_R2,Q61_4,Q62,Q63_1,Q63_2,Q63_3,P3_Filter_Valid_AT_R2,Q63_4,Q64,P3_readability_R2,Q65,P3_correctness_R2,Q66,P3_confidence_level_R2,Q67,Q67_means (Is the method you just saw logically correct),Q68,Q69_1,Q69_2,Q69_3,P4_Filter_Valid_R2,P4_Solution_R2,Q69_4,Q70,Q71_1,Q71_2,Q71_3,P4_Filter_Valid_AT_R2,Q71_4,Q72,P4_readability_R2,Q73,P4_correctness_R2,Q74,P4_confidence_level_R2,Q75,Q75_means (Is the method you just saw logically correct),Q76,Q77,Q78,Problem_Rank_R1,Q79_4,Q79_5,Q80,Q81,Problem_Rank_R2,Q82_3,Q82_4,Q83,Q84,Q85,Q86,Q87,Q88,Q89,LocationLatitude,LocationLongitude,LocationAccuracy
4,R_1LC3vpbiAqzhpsT,Default Response Set,Anonymous,,,168.176.239.36,0,42766.53263,42766.5609,1,1,B307,español,Spanish,colombia,Colombia,2,No,2,No,1,Yes,2,No,4,Good,3,Satisfactory,3,Between 3 and 5 years,2,Between 1 and 3 years,5,Not applicable,1,0,0,70717,1,S1,1,1,1,0,1,3814,138704,140563,-1,4,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,113627,1,S3,0,1,3568,30.12,30924,1,6,5,Very easy to read,1,Correct,18,Very confident,1,Yes,,119042,119042,148918,1,S4,1,1,2484,18564,21424,1,4,5,Very easy to read,1,Correct,18,Very confident,1,Yes,,0,0,103127,1,S2,0,1,8199,30935,94083,1,6,4,Easy to read,4,Correct,18,Very confident,2,No,es muy extenso y se puede usar un contador para hacerlo mas rapido,0,0,217963,1,S4,0,1,5371,38395,39863,1,4,3,Neutral,2,Correct,14,Somewhat confident,1,Yes,,0,0,179539,1,S1,0,1,2983,63111,65689,1,4,2,Difficult to read,2,Incorrect,16,Not very confident,2,No,,0,0,115095,1,S3,0,1,8314,39346,46797,1,5,4,Easy to read,1,Incorrect,14,Somewhat confident,1,Yes,,0,0,215166,1,S2,0,1,3285,36886,38482,1,4,4,Easy to read,1,Incorrect,15,Neutral,2,No,,1,1,P4,1,2,,1,P4,1,2,,1,3,,"hacer demasiados bucles dificulta la lectura del codigo, asi como algunos do while que se podrían evitar hace la lectura mas comprensible",,,4.6492E+13,-7.40628E+13,-1
4,R_1eUEvYhFOgKeDXa,Default Response Set,Anonymous,,,168.176.239.32,0,42766.53243,42766.57081,1,1,B299,Java,Spanish,Colombia,Colombia,2,No,1,Yes,1,Yes,2,No,4,Good,4,Good,3,Between 3 and 5 years,2,Between 1 and 3 years,7,Between 1 and 3 years,1,0,0,46781,1,S1,1,1,1,0,1,0.99,110469,187658,-1,6,5,Very easy to read,2,Incorrect,18,Very confident,2,No,"Si todos los número son iguales todos serían ""el más grande"", el método no tiene la capacidad de determinar esto, dando una falsa sensación de que hay dos número más pequeños que el retornado.",65099,65404,91672,1,S3,2,1,2335,363484,539369,-1,27,5,Very easy to read,2,Incorrect,16,Not very confident,2,No,"En la tabla se especificaba que los límites eran cerrados en el valor inferior, es decir, si era mayor o Igual a 90 , si era mayor o IGUAL a 80 y menor a noventa, si era mayor o IGUAL a 70 y menor que 80, si era mayor o IGUAL a 60 o menor que 70. Pero en el código los comparadores eran menor y mayor para los intervalos entre 90 y 80 y 80 y 70, y en el caso de el intervalo 70 - 60, únicamente el comparador de 60 era menor o igual. En consecuencia, si se introduce 70 u 80 en como entrada el programa va a fallar.",0,0,149291,1,S4,0,1,1613,12981,13689,1,4,5,Very easy to read,4,Incorrect,18,Very confident,1,Yes,,0,0,84277,1,S2,0,1,2572,98715,99472,1,5,3,Neutral,4,Correct,18,Very confident,1,Yes,,0,0,183066,1,S4,0,1,4269,83581,84607,1,4,4,Easy to read,3,Incorrect,14,Somewhat confident,1,Yes,,0,0,279131,1,S1,0,1,11043,124531,125400,1,5,4,Easy to read,3,Incorrect,15,Neutral,1,Yes,,0,0,61841,1,S3,0,1,1964,49436,50328,1,4,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,183645,1,S2,0,1,1351,115.31,120042,1,4,5,Very easy to read,3,Correct,18,Very confident,1,Yes,,1,1,P4,1,2,"El primer método es mucho más corto y conciso, hay un contador único y se ve rápidamente que valor tienen a medida que el método se ejecuta, en cambio, el segundo método es muy extenso, se puede perder fácilmente el orden, o el ""hilo"", por así decirlo.",1,P4,1,2,"El segundo método es más ""obvio"", es decir, si la cadena está vacía, no va a entrar al ciclo, de esa forma nos evitamos el primer if del primer método, además, sabemos cuántas veces se va a ejecutar el ciclo justo antes de que inicie, lo cual también le da sentido a lo que se hace dentro de el ciclo, no por algo solo se usa un do-while únicamente cuando se requiere que el ciclo se ejecute al menos una vez, y este no es el caso.",1,2,"La posibilidad de no poder ver el código nuevamente es un poco incómoda, particularmente porque algunas personas tenemos problemas de concentración. En mi caso, puedo analizar el código y ver si tiene o no errores, pero una vez paso a otro tema olvido rápidamente los detalles, y eso me dificulta mucho responder con precisión.","Lo más importante para mi es que el código esté debidamente comentado, esto da una idea de qué es lo que hace el código y cómo lo hace, de esa forma uno no tiene que ""adivinar"" que es lo que hace el código.","Cuando escribo tengo la costumbre de dejar saltos de línea entre bloques de un mimos método, esto me permite identificar rápidamente que parte del mismo se está ejecutando. Sin embargo, a la hora de leer código ajeno no tengo una técnica o herramienta para hacerlo más fácil.","Es un ejercicio bastante interesante, siempre he pensado que código ""bien"" escrito era aquel que estaba bien indentado, pero esto me ha hecho ver que hay más aspectos que pueden afectar la legibilidad del mismo.",4.6492E+13,-7.40628E+13,-1
4,R_2VwnqgWMO7IIPtT,Default Response Set,Anonymous,,,168.176.239.35,0,42774.54325,42774.55959,1,1,B344,español,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,4,Good,3,Satisfactory,3,Between 3 and 5 years,2,Between 1 and 3 years,5,Not applicable,1,0,0,13595,1,S1,1,1,1,0,1,1806,37879,39198,1,4,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,51561,1,S3,0,1,1.61,18554,19529,1,5,5,Very easy to read,1,Correct,18,Very confident,1,Yes,,13991,13991,67514,1,S4,1,1,1648,11207,12256,1,4,5,Very easy to read,1,Correct,18,Very confident,1,Yes,,0,0,107266,1,S2,0,1,2698,32737,34403,1,5,4,Easy to read,4,Correct,14,Somewhat confident,1,Yes,,0,0,132352,1,S4,0,1,3032,32392,33458,1,7,5,Very easy to read,2,Correct,14,Somewhat confident,1,Yes,,0,0,69823,1,S1,0,1,6769,63553,64812,1,4,5,Very easy to read,3,Incorrect,14,Somewhat confident,1,Yes,,0,0,79134,1,S3,0,1,1735,20127,21686,1,4,5,Very easy to read,4,Correct,14,Somewhat confident,1,Yes,,0,0,44635,1,S2,0,1,2087,39535,41088,1,5,4,Easy to read,3,Correct,14,Somewhat confident,1,Yes,,1,1,P4,1,2,Es mucho mas sencillo el uso de un contador ya que al hacer tantos if es un poco confuso.,1,P4,2,1,Ambos son sencillos de leer pero en lo personal prefiero al while (de hecho es el unico cambio) que al do while,1,2,Algunas preguntas eran muy puntuales y no lograba recordar con claridad si en el codigo había ese simbolo.,"La sencilles , es decir que sea facil de comprender para cualquier persona que tenga un nivel de conocimiento aceptable, en ocaciones se complica demaciado y eso puede generar problemas al momento de algún cambio en el codigo.",leer el codigo con calma intentando poner atencion en cualquier detalle como la falta de un simbolo.,,4.6492E+13,-7.40628E+13,-1
4,R_vJFKe7jKjNaQLkt,Default Response Set,Anonymous,,,168.176.239.33,0,42774.54286,42774.56809,1,1,B327,Español,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,3,Satisfactory,3,Satisfactory,3,Between 3 and 5 years,2,Between 1 and 3 years,5,Not applicable,1,4141,4803,54983,1,S1,1,1,1,2,1,3486,73229,74105,1,12,5,Very easy to read,4,Correct,14,Somewhat confident,1,Yes,,5135,8254,90890,1,S3,7,1,2.94,19.22,21480,1,6,4,Easy to read,1,Correct,15,Neutral,1,Yes,,5493,89678,103962,1,S4,7,1,3.26,17717,18921,1,5,3,Neutral,1,Correct,14,Somewhat confident,1,Yes,,91818,115795,185341,1,S2,4,1,9659,196475,215519,-1,22,2,Difficult to read,3,Incorrect,15,Neutral,1,Yes,,35121,53601,201965,1,S4,4,1,1443,26962,27302,1,5,3,Neutral,2,Correct,15,Neutral,1,Yes,,7922,27.01,171485,1,S1,4,1,2665,51377,53268,1,7,2,Difficult to read,1,Correct,15,Neutral,2,No,,56024,56024,56308,1,S3,1,1,2057,58569,60309,1,10,3,Neutral,1,Incorrect,16,Not very confident,2,No,,5298,22538,150245,1,S2,4,1,2217,96401,97213,1,5,3,Neutral,3,Correct,16,Not very confident,1,Yes,,1,1,P4,1,2,,1,P4,1,2,,2,3,Dudar de las funciones que lei  despues pasar a las preguntas ,usualmente al minimizar la cantidad de lineas de código facilita su comprencion pero de pende también del problema que se vaya a tratar ,hacerlo paso a paso en papel,,4.6492E+13,-7.40628E+13,-1
4,R_2nRvXl2kHCl6z6N,Default Response Set,Anonymous,,,130.101.154.77,0,42785.76006,42785.79116,1,1,B267,English,English,The United States of America,USA,2,No,2,No,1,Yes,2,No,5,Very good,2,Poor,3,Between 3 and 5 years,1,Less than 1 year,5,Not applicable,1,0,0,51954,1,S1,1,1,1,0,1,2331,31982,33230,1,4,5,Very easy to read,4,Correct,14,Somewhat confident,1,Yes,,38513,62407,91978,1,S3,4,1,4293,35.56,102680,1,5,4,Easy to read,2,Incorrect,18,Very confident,2,No,The lower bounds for the B and C cases do not include the is equal to case even though the grading scale states that their lower bound is inclusive.,27892,27892,103583,1,S4,1,1,5004,29.76,33582,1,4,4,Easy to read,4,Incorrect,14,Somewhat confident,1,Yes,,0,0,114964,1,S2,0,1,2922,70026,72071,1,7,2,Difficult to read,4,Correct,16,Not very confident,1,Yes,,171111,171111,184104,1,S4,1,1,4783,62723,86120,1,4,4,Easy to read,2,Correct,16,Not very confident,1,Yes,,0,0,156121,1,S1,0,1,6625,77338,80498,1,5,2,Difficult to read,1,Correct,18,Very confident,1,Yes,,89.7,89.7,93300,1,S3,1,1,3714,92527,203145,1,5,4,Easy to read,3,Incorrect,15,Neutral,2,No,"It appears as though the counter is only incremented inside of the if statement. Meaning if the if statement is not triggered, the same element in the array will continually be analyzed and the counter can never become greater than or equal to the limit value.",0,0,139213,1,S2,0,1,6717,92258,96742,1,4,4,Easy to read,3,Correct,14,Somewhat confident,1,Yes,,1,1,P4,1,2,"The nesting in Snippet one makes it much more difficult to read through, and adds more lines than are necessary. The second snippet is much more concise and is much easier to read through as a result.",1,P4,1,2,"Snippet 2 more explicitly handles the case, where the length of the phrase is 0 but that adds extra lines to the code. Snippet 1 is more concise, albeit it requires you to examine the corner case yourself. It is apparent that 0 is not less than 0 and the programs should perform the same.",1,4,After reading the code through and clicking to the questions section I found that I was not sure of my comprehension of the programs. Mainly the section that asked about errors in the output of each method. This may have been a result of my lack of experience with Java or me not considering every input to the provided method when I was able to analyze it.,"Keeping code concise is the largest aspect, mainly because it is generally easier to read and remember short sections of code rather than large drawn out sections. Adding comments also helps to convey your thinking and the general running of your program to people reading it.",Normally I like to look at code in an editor that syntax highlights and automatically indents code. The break up of code into indented sections makes it easier to scan for loops and keywords. For comprehension I try to think through the code with examples of general input.,"I would have liked the answer to the output questions, purely for my own edification. Of course this would be displayed after the question was submitted, it would be nice to be able to see the result.",4.10764E+13,-8.15103E+13,-1
4,R_12MaokNFQOSXxha,Default Response Set,Anonymous,,,98.103.59.84,0,42789.51721,42789.53553,1,1,B271,English,English,United States,USA,2,No,2,No,1,Yes,2,No,5,Very good,4,Good,3,Between 3 and 5 years,3,Between 3 and 5 years,5,Not applicable,1,0,0,35321,1,S1,1,1,1,0,1,1.76,39336,40161,1,4,5,Very easy to read,2,Incorrect,14,Somewhat confident,1,Yes,,0,0,57682,1,S3,0,1,1804,53006,54283,1,9,5,Very easy to read,1,Correct,18,Very confident,2,No,Well it was supposed to be greater than or equal to 80 and 70 for the b and c range respectivly ,0,0,76037,1,S4,0,1,4469,15946,17020,1,4,4,Easy to read,4,Incorrect,18,Very confident,1,Yes,,0,0,35089,1,S2,0,1,6555,23816,26964,1,4,3,Neutral,4,Correct,14,Somewhat confident,1,Yes,,120804,120804,133286,1,S4,1,1,2189,73519,77660,1,6,3,Neutral,2,Correct,15,Neutral,1,Yes,,334616,334616,335522,1,S1,1,1,2203,18011,19006,0,6,3,Neutral,1,Correct,18,Very confident,1,Yes,,23893,23893,35110,1,S3,1,1,1832,20.6,68338,1,5,5,Very easy to read,3,Incorrect,18,Very confident,2,No,the counter line is in the if statement. so if you find a number that isnt positive. the counter doesnt increase and you dont move on the the next element in the array,0,0,88292,1,S2,0,1,1483,43985,44805,1,6,3,Neutral,1,Incorrect,15,Neutral,1,Yes,,1,1,P4,1,2,you have to keep track of way less if and else if statements,1,P4,1,2,you dont have to figure out that the method returns early in the second one,1,1,I never use do while so those were harder to read. Also trying to remember what certain java statements like continue did was difficult.,trying to minimize nested conditionals/ loops. Also commenting helps but i dont know if thats what you want or just straight coding practices,figure out what is being returned/ the data being changed and logically follow it through with different examples in my head,When you would have the question on what was wrong with the code and i hadnt seen anything i just assumed i missed it and i graded my comprehension way lower than problems that gave me an option to say it was all good. I think haveing the none of the other options in all the problems would be a nice standard and make participants not wonder if they had missed something( even if they had),4.12346E+13,-8.15524E+13,-1
4,R_3htjdwVR2ehWGYn,Default Response Set,Anonymous,,,150.134.245.2,0,42790.38066,42790.4123,1,1,B396,C++,English,USA,USA,2,No,2,No,1,Yes,2,No,5,Very good,3,Satisfactory,3,Between 3 and 5 years,2,Between 1 and 3 years,5,Not applicable,1,0,0,83299,1,S1,1,1,1,0,1,1861,18958,21406,1,4,5,Very easy to read,4,Correct,15,Neutral,1,Yes,,0,0,76639,1,S3,0,1,3331,34767,64185,1,5,5,Very easy to read,1,Correct,14,Somewhat confident,2,No,It is possible for grades to be greater than 100 or less than 0.,0,0,123680,1,S4,0,1,2363,13412,15781,1,4,2,Difficult to read,4,Incorrect,16,Not very confident,1,Yes,,6377,6377,90145,1,S2,1,1,2204,15558,17042,1,4,1,Very difficult to read,4,Correct,15,Neutral,1,Yes,,0,0,108350,1,S4,0,1,7865,49816,55153,1,4,3,Neutral,1,Incorrect,14,Somewhat confident,1,Yes,,0,0,130010,1,S1,0,1,3776,66667,69604,1,4,2,Difficult to read,1,Correct,16,Not very confident,1,Yes,,0,0,112273,1,S3,0,1,2703,42568,50260,1,5,3,Neutral,4,Correct,15,Neutral,1,Yes,,0,0,153216,1,S2,0,1,3283,57268,58872,1,4,2,Difficult to read,3,Correct,15,Neutral,1,Yes,,1,1,P4,1,2,I prefer not going crazy with else if.,1,P4,1,2,I prefer the while loop to the do while loop.,2,2,It would have been nice to compare code side by side instead above above and below.,Finding the balance between lines of code and efficiency.,Doing a code trace.,,4.11039E+13,-8.06436E+13,-1
5,R_3KATRgZEW4JMgLI,Default Response Set,Anonymous,,,168.176.239.31,0,42668.55541,42668.57005,1,1,B22,Spanish,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,5,Very good,5,Very good,1,Less than 1 year,3,Between 3 and 5 years,5,Not applicable,1,0,0,27035,1,S1,1,1,1,0,1,1416,18297,22029,1,5,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,37153,44761,45765,1,S4,2,1,4256,28583,39244,1,8,5,Very easy to read,1,Correct,18,Very confident,1,Yes,,0,0,41313,1,S2,0,1,4677,14006,16201,1,4,2,Difficult to read,4,Correct,18,Very confident,1,Yes,,0,0,30657,1,S3,0,1,1449,47522,49446,1,9,5,Very easy to read,4,Incorrect,18,Very confident,1,Yes,,0,0,135896,1,S3,0,1,2187,23723,59303,1,6,3,Neutral,4,Incorrect,18,Very confident,2,No,You can exit the programm by tipying any letter after typing the wrong answer,0,0,66506,1,S4,0,1,1.76,44.24,44571,1,6,5,Very easy to read,3,Correct,18,Very confident,2,No,you should be able to repeat characters with the condition that there must be at least 4 different characters,0,0,51602,1,S1,0,1,0.828,31.18,32025,1,4,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,69421,1,S2,0,1,0.839,23725,25816,1,5,3,Neutral,3,Correct,18,Very confident,1,Yes,,1,1,P1,1,2,It's more logical to check one by one instead of all at the same time,1,P1,2,1,It's more logical to write a do-while because you always have to run it at least once,1,5,,"Balance between logic and number of lines, with more logic it comes harder to read the code (because the code gets shorter), but with less logic it gets tedious to read the code (the code gets longer)",Testing cases,,4.6492E+13,-7.40628E+13,-1
5,R_2AT35LIXCyQZLWc,Default Response Set,Anonymous,,,168.176.239.36,0,42668.55506,42668.5773,1,1,B44,Javascript,Spanish,Colombia,Colombia,2,No,1,Yes,1,Yes,2,No,3,Satisfactory,3,Satisfactory,2,Between 1 and 3 years,1,Less than 1 year,6,Less than a year,1,0,0,72561,1,S1,1,1,1,0,1,1754,31554,32693,1,4,4,Easy to read,4,Correct,18,Very confident,1,Yes,,0,0,78551,1,S4,0,1,0.886,14493,18072,1,5,4,Easy to read,2,Incorrect,14,Somewhat confident,1,Yes,,0,0,81873,1,S2,0,1,18855,35526,36681,1,6,4,Easy to read,4,Correct,14,Somewhat confident,1,Yes,,0,0,54333,1,S3,0,1,5499,30899,31534,1,6,5,Very easy to read,4,Incorrect,14,Somewhat confident,1,Yes,,0,0,109119,1,S3,0,1,1387,29684,30311,1,4,3,Neutral,4,Incorrect,14,Somewhat confident,1,Yes,,0,0,181135,1,S4,0,1,8212,73.22,128895,1,6,3,Neutral,1,Incorrect,15,Neutral,2,No,La validacion del while toma como parametros las variables que se definieron dentro del do (No tienen valor las variables pasadas en el while),0,0,42517,1,S1,0,1,9321,64889,70563,1,10,5,Very easy to read,4,Correct,14,Somewhat confident,1,Yes,,83148,83148,83559,1,S2,1,1,2881,52712,53909,1,4,4,Easy to read,3,Correct,14,Somewhat confident,1,Yes,,1,1,P1,1,2,Para mi es muy natural el uso de ifs y me parece que hace menos validaciones que el anterior y funciona igual,1,P1,1,2,"Siempre he usado mas las sentencias while que las do while, por eso la escojo",2,3,"No muchas,  creo que en una pregunta dude un poco en cuanto a la sintaxis de else if, pero en general estuvo bien ","ya que es programación estructurada, el orden es muy importante y revisar bien llaves y paréntesis.",un editor de texto con buenas tabulaciones y colores me parece muy facil de apreciar sintaxis parabras reservadas y validaciones de parentesis y llaves,"Ok, nada para comentar",4.6492E+13,-7.40628E+13,-1
5,R_1CrqFJkxzzLN4KO,Default Response Set,Anonymous,,,168.176.239.33,0,42683.55419,42683.58153,1,1,B89,Español,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,4,Good,3,Satisfactory,1,Less than 1 year,1,Less than 1 year,5,Not applicable,1,0,0,57452,1,S1,1,1,1,0,1,2205,127748,133153,-1,4,5,Very easy to read,4,Correct,14,Somewhat confident,1,Yes,,0,0,118199,1,S4,0,1,3513,54.76,194155,-1,7,4,Easy to read,3,Incorrect,18,Very confident,2,No,"La lógica del método no es correcta porque en los rangos de números, en la izquierda, el paréntesis es cerrado, lo cual indica que el número que está ahí se incluye en el intervalo, pero dentro de la condición del if este número no se contempla",40798,47317,196737,1,S2,2,1,12371,78.62,79544,-1,4,5,Very easy to read,4,Correct,14,Somewhat confident,1,Yes,,0,0,73850,1,S3,0,1,1989,81156,82441,1,6,5,Very easy to read,4,Incorrect,14,Somewhat confident,1,Yes,,15045,15045,199007,1,S3,1,1,2646,30501,51072,1,5,3,Neutral,2,Correct,14,Somewhat confident,2,No,El método no termina cuando el jugador responde correctamente.,0,0,33035,1,S4,0,1,1863,37696,38491,1,4,3,Neutral,4,Incorrect,15,Neutral,1,Yes,,0,0,89274,1,S1,0,1,1882,54369,59468,1,4,5,Very easy to read,1,Incorrect,14,Somewhat confident,1,Yes,,222494,222494,222914,1,S2,1,1,1472,80913,81741,1,6,3,Neutral,3,Correct,15,Neutral,1,Yes,,1,1,P1,1,2,"En el primer código hay más if que en el segundo, lo cual podría llegar a confundir en mayor medida. Además de que la lógica del segundo código es más simple.",1,P1,2,1,Pienso que ambos son igual de entendibles.,2,2,,,,,4.6492E+13,-7.40628E+13,-1
5,R_2wvkaawl7yvIZEY,Default Response Set,Anonymous,,,200.118.46.114,0,42721.23595,42721.27635,1,1,B159,Español,Spanish,bogotá,Colombia,2,No,1,Yes,2,No,1,Yes,3,Satisfactory,3,Satisfactory,4,More than 5 years,1,Less than 1 year,9,More than 5 years,1,115699,115699,131369,1,S1,1,1,1,1,1,3804,416345,418453,-1,8,5,Very easy to read,3,Incorrect,14,Somewhat confident,2,No,,92726,92726,95751,1,S4,1,1,5029,78.08,81609,1,4,4,Easy to read,3,Incorrect,14,Somewhat confident,2,No,,267752,267752,338552,-1,S2,1,1,12389,37441,61276,1,5,4,Easy to read,4,Correct,18,Very confident,2,No,To much if,0,0,45865,1,S3,0,1,3471,54094,56154,1,4,5,Very easy to read,4,Incorrect,14,Somewhat confident,1,Yes,,0,0,58496,1,S3,0,1,8696,85932,87646,1,5,4,Easy to read,2,Correct,18,Very confident,1,Yes,,0,0,182121,1,S4,0,1,3603,37035,44856,1,5,5,Very easy to read,3,Correct,18,Very confident,1,Yes,,0,0,75351,1,S1,0,1,4374,39502,44256,1,5,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,85652,1,S2,0,1,2738,89105,93815,1,4,5,Very easy to read,1,Incorrect,14,Somewhat confident,1,Yes,,1,1,P1,2,1,El segundo falla,1,P1,2,1,El primer código tiene mmás iteraciones,3,3,,,,,4.6492E+13,-7.40628E+13,-1
5,R_2rImPmN7AHkMUwh,Default Response Set,Anonymous,,,186.28.44.67,0,42743.72906,42743.76021,1,1,B194,Spanish,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,5,Very good,5,Very good,4,More than 5 years,3,Between 3 and 5 years,6,Less than a year,1,1824,1824,65668,1,S1,1,1,1,1,1,3317,23306,24745,1,4,4,Easy to read,4,Correct,14,Somewhat confident,1,Yes,,0,0,92778,1,S4,0,1,19034,38048,57890,1,5,2,Difficult to read,1,Correct,14,Somewhat confident,2,No,The boolean statements are not correct.,0,0,93598,1,S2,0,1,8.28,18605,20310,1,4,4,Easy to read,4,Correct,15,Neutral,1,Yes,,0,0,49240,1,S3,0,1,3405,75839,77602,1,6,5,Very easy to read,4,Incorrect,15,Neutral,1,Yes,,0,0,173944,1,S3,0,1,3.38,71427,79741,1,6,3,Neutral,4,Incorrect,15,Neutral,1,Yes,,0,0,197321,1,S4,0,1,1909,344817,352984,1,25,2,Difficult to read,3,Correct,15,Neutral,2,No,"I believe the problem has some ambiguity regarding the length of the new password and does not state whether duplicate characters can be accepted, having this ambiguity in mind, I believe a user can implement different approaches and can not say whether it is correct or not.",0,0,76828,1,S1,0,1,3334,77306,129567,1,4,3,Neutral,4,Correct,15,Neutral,1,Yes,,0,0,91653,1,S2,0,1,6474,281878,294097,-1,7,3,Neutral,3,Correct,14,Somewhat confident,1,Yes,,1,1,P1,1,2,It is logically correct and short,1,P1,1,2,"Personal preference, however both are equivalent I would say",1,1,"during the questions, I started to think whether I had seen the code correctly. Sometimes I did not remember how the snippet was and was a little bit hard to answer the questions",Space between statements and cluster of statements when they are directly related. When we have ambiguity or hard-questions (ex. is 0 positive) a small comment explaining the code is important,Debugging complex statements.,"I found this really interesting, I had never had such a questionnaire for me was a call to be more careful when reading code. I hope my contribution was helpful ",4.6492E+13,-7.40628E+13,-1
5,R_3lsoIMEokiNvzKi,Default Response Set,Anonymous,,,1.86154E+11,0,42746.82573,42746.85749,1,1,B180,Spanish,Spanish,Colombia,Colombia,2,No,1,Yes,2,No,2,No,5,Very good,5,Very good,4,More than 5 years,4,More than 5 years,9,More than 5 years,1,2078,2078,56681,1,S1,1,1,1,1,1,0.867,63384,64076,1,7,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,1798,1798,135760,1,S4,1,1,3429,199.5,203852,-1,10,5,Very easy to read,1,Correct,18,Very confident,2,No,The boundaries for the intervals are not well defined in the if sentences.,1608,1608,92632,1,S2,1,1,34427,108732,109551,-1,5,4,Easy to read,4,Correct,18,Very confident,1,Yes,,1936,1936,46421,1,S3,1,1,1691,141407,182591,-1,16,5,Very easy to read,2,Correct,18,Very confident,2,No,"Zero is neither positive nor negative, so if zero is an input, it would be count as positive and that is wrong.",6854,6854,192914,1,S3,1,1,6.03,177958,179037,1,5,4,Easy to read,2,Correct,14,Somewhat confident,1,Yes,,1868,19252,278031,1,S4,2,1,1849,49565,50762,1,6,4,Easy to read,3,Correct,14,Somewhat confident,1,Yes,,14122,14122,104613,1,S1,1,1,3401,75124,76005,1,4,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,205635,1,S2,0,1,8347,138644,140839,1,4,4,Easy to read,3,Correct,14,Somewhat confident,1,Yes,,1,1,P1,1,2,In this case I can understand easier the shortest algorithm because it has less if sentences,1,P1,2,1,"do while is used to execute something at least once, in this case we need just that, so I can understand it easier.",2,5,To memorize the code in order to answer the questions.,"Variable, methods and classes names should be descriptive.","If I have the source code I like to format it and then add some blank spaces between similar sentences (variables definitions, start of a loop, end of method, etc). / ",,4.6492E+13,-7.40628E+13,-1
