Problem,ProblemCorrectness,ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,ParticipantID,Language,Country,ReadingDisorder,CurrentDev,CurrentUGrad,CurrentGrad,EnglishSkill,JavaSkill,ProgrammingSkill,YearsJava,YearsProgramming,ReadTime,AnswerTime,Readability,MCQCorrectness,ConfidenceLevel,LogicalCorrectness,LogicalCorrectnessExplanation
r1p2s2,1,R_2zq0R77NaUDSinV,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42668.55512,42668.60252,1,B29,Spanish,Colombia,2,2,1,2,3,3,2,2,5,110520.0,67681.0,Neutral,Incorrect,Neutral,1,nan
r2p2s4,0,R_2zq0R77NaUDSinV,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42668.55512,42668.60252,1,B29,Spanish,Colombia,2,2,1,2,3,3,2,2,5,260208.0,226172.0,Neutral,Incorrect,Neutral,0,nan
r1p3s3,0,R_2zq0R77NaUDSinV,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42668.55512,42668.60252,1,B29,Spanish,Colombia,2,2,1,2,3,3,2,2,5,211526.0,21405.0,Neutral,Correct,Neutral,0,nan
r2p3s1,1,R_2zq0R77NaUDSinV,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42668.55512,42668.60252,1,B29,Spanish,Colombia,2,2,1,2,3,3,2,2,5,104285.0,283588.0,Easy to read,Incorrect,Somewhat confident,1,nan
r1p4s4,0,R_2zq0R77NaUDSinV,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42668.55512,42668.60252,1,B29,Spanish,Colombia,2,2,1,2,3,3,2,2,5,197312.0,74206.0,Neutral,Correct,Neutral,0,nan
r2p4s2,1,R_2zq0R77NaUDSinV,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42668.55512,42668.60252,1,B29,Spanish,Colombia,2,2,1,2,3,3,2,2,5,245272.0,168010.0,Neutral,Incorrect,Neutral,1,nan
r1p1s1,1,R_3Pow8lOZQIeG7fL,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42683.55008,42683.57499,1,B80,Spanish,Colombia,2,2,1,2,5,3,3,3,7,34381.0,35315.0,Very easy to read,Incorrect,Very confident,1,nan
r2p1s3,0,R_3Pow8lOZQIeG7fL,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42683.55008,42683.57499,1,B80,Spanish,Colombia,2,2,1,2,5,3,3,3,7,141481.0,59437.0,Very easy to read,Incorrect,Somewhat confident,0,nan
r1p2s2,1,R_3Pow8lOZQIeG7fL,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42683.55008,42683.57499,1,B80,Spanish,Colombia,2,2,1,2,5,3,3,3,7,137992.0,26088.0,Difficult to read,Correct,Very confident,1,nan
r2p2s4,0,R_3Pow8lOZQIeG7fL,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42683.55008,42683.57499,1,B80,Spanish,Colombia,2,2,1,2,5,3,3,3,7,165677.0,125791.0,Neutral,Incorrect,Neutral,1,The code has problems in doing its function since you never know if the key has less than 4 equal characters.
r1p3s3,0,R_3Pow8lOZQIeG7fL,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42683.55008,42683.57499,1,B80,Spanish,Colombia,2,2,1,2,5,3,3,3,7,99352.0,64226.0,Very easy to read,Correct,Very confident,1,In case it is exactly 18.5 the program should throw a bad result or throw an exception.
r2p3s1,1,R_3Pow8lOZQIeG7fL,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42683.55008,42683.57499,1,B80,Spanish,Colombia,2,2,1,2,5,3,3,3,7,163804.0,101973.0,Very easy to read,Incorrect,Very confident,1,nan
r1p4s4,0,R_3Pow8lOZQIeG7fL,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42683.55008,42683.57499,1,B80,Spanish,Colombia,2,2,1,2,5,3,3,3,7,68821.0,45166.0,Difficult to read,Incorrect,Not very confident,0,nan
r2p4s2,1,R_3Pow8lOZQIeG7fL,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42683.55008,42683.57499,1,B80,Spanish,Colombia,2,2,1,2,5,3,3,3,7,76186.0,61235.0,Very easy to read,Incorrect,Somewhat confident,0,Suddenly it would have to be an if else not just an if.
r1p1s1,1,R_2ToYdO5gel3Nise,Default Response Set,Anonymous,nan,nan,190.24.59.36,0,42702.334160000006,42702.36348,1,B103,Spanish,Colombia,2,2,1,2,3,4,1,2,5,126167.0,22321.0,Very easy to read,Correct,Very confident,1,nan
r2p1s3,0,R_2ToYdO5gel3Nise,Default Response Set,Anonymous,nan,nan,190.24.59.36,0,42702.334160000006,42702.36348,1,B103,Spanish,Colombia,2,2,1,2,3,4,1,2,5,100906.0,125647.0,Very easy to read,Incorrect,Somewhat confident,0,nan
r1p2s2,1,R_2ToYdO5gel3Nise,Default Response Set,Anonymous,nan,nan,190.24.59.36,0,42702.334160000006,42702.36348,1,B103,Spanish,Colombia,2,2,1,2,3,4,1,2,5,79876.0,19706.0,Easy to read,Correct,Very confident,1,nan
r2p2s4,0,R_2ToYdO5gel3Nise,Default Response Set,Anonymous,nan,nan,190.24.59.36,0,42702.334160000006,42702.36348,1,B103,Spanish,Colombia,2,2,1,2,3,4,1,2,5,153654.0,42021.0,Easy to read,Correct,Somewhat confident,0,nan
r1p3s3,0,R_2ToYdO5gel3Nise,Default Response Set,Anonymous,nan,nan,190.24.59.36,0,42702.334160000006,42702.36348,1,B103,Spanish,Colombia,2,2,1,2,3,4,1,2,5,53894.0,52491.0,Very easy to read,Correct,Very confident,1,Because when the bmi is 18.5 it will not return anything when it should return something
r2p3s1,1,R_2ToYdO5gel3Nise,Default Response Set,Anonymous,nan,nan,190.24.59.36,0,42702.334160000006,42702.36348,1,B103,Spanish,Colombia,2,2,1,2,3,4,1,2,5,74953.0,44301.0,Very easy to read,Correct,Very confident,1,nan
r1p4s4,0,R_2ToYdO5gel3Nise,Default Response Set,Anonymous,nan,nan,190.24.59.36,0,42702.334160000006,42702.36348,1,B103,Spanish,Colombia,2,2,1,2,3,4,1,2,5,148967.0,106948.0,Difficult to read,Correct,Somewhat confident,1,When numOne is 0 or negative number if the next two numbers are positive it will return 1 while if only the second number is positive it will return 2
r2p4s2,1,R_2ToYdO5gel3Nise,Default Response Set,Anonymous,nan,nan,190.24.59.36,0,42702.334160000006,42702.36348,1,B103,Spanish,Colombia,2,2,1,2,3,4,1,2,5,173698.0,374860.0,Neutral,Correct,Neutral,0,Because a good programming practice is to put that while right next to the'corchete 'like this: / do {/ /} while (); / Instead of / do {/ /} / while (); / This ensures a better reading of the code
r1p1s1,1,R_298xJVBWzIxcRnL,Default Response Set,Anonymous,nan,nan,2.01217E+11,0,42716.265889999995,42716.5611,0,B149,Spanish,Colombia,2,2,2,1,5,3,4,1,7,68042.0,39644.0,Very easy to read,Correct,Very confident,1,nan
r2p1s3,0,R_298xJVBWzIxcRnL,Default Response Set,Anonymous,nan,nan,2.01217E+11,0,42716.265889999995,42716.5611,0,B149,Spanish,Colombia,2,2,2,1,5,3,4,1,7,20525.0,18973.0,Difficult to read,Incorrect,Not very confident,0,nan
r1p2s2,1,R_298xJVBWzIxcRnL,Default Response Set,Anonymous,nan,nan,2.01217E+11,0,42716.265889999995,42716.5611,0,B149,Spanish,Colombia,2,2,2,1,5,3,4,1,7,469199.0,30019.0,Easy to read,Incorrect,Somewhat confident,1,nan
r2p2s4,0,R_298xJVBWzIxcRnL,Default Response Set,Anonymous,nan,nan,2.01217E+11,0,42716.265889999995,42716.5611,0,B149,Spanish,Colombia,2,2,2,1,5,3,4,1,7,39640.0,28066.0,Very difficult to read,Incorrect,Not very confident,0,nan
r1p3s3,0,R_298xJVBWzIxcRnL,Default Response Set,Anonymous,nan,nan,2.01217E+11,0,42716.265889999995,42716.5611,0,B149,Spanish,Colombia,2,2,2,1,5,3,4,1,7,84480.0,53892.0,Very easy to read,Incorrect,Very confident,1,The last statement doesn´t work
r2p3s1,1,R_298xJVBWzIxcRnL,Default Response Set,Anonymous,nan,nan,2.01217E+11,0,42716.265889999995,42716.5611,0,B149,Spanish,Colombia,2,2,2,1,5,3,4,1,7,57041.0,19313.0,Easy to read,Incorrect,Neutral,1,nan
r1p4s4,0,R_298xJVBWzIxcRnL,Default Response Set,Anonymous,nan,nan,2.01217E+11,0,42716.265889999995,42716.5611,0,B149,Spanish,Colombia,2,2,2,1,5,3,4,1,7,5264.0,15986.0,Difficult to read,Correct,Neutral,0,nan
r2p4s2,1,R_298xJVBWzIxcRnL,Default Response Set,Anonymous,nan,nan,2.01217E+11,0,42716.265889999995,42716.5611,0,B149,Spanish,Colombia,2,2,2,1,5,3,4,1,7,1731187.0,25663.0,Neutral,Incorrect,Not at all confident,1,nan
r1p1s1,1,R_1i4kv3KFA4pvfN9,Default Response Set,Anonymous,nan,nan,168.176.239.33,0,42766.53299,42766.57257,1,B304,Spanish,Colombia,2,2,1,2,3,2,2,2,5,90638.0,94534.0,Easy to read,Correct,Somewhat confident,1,nan
r2p1s3,0,R_1i4kv3KFA4pvfN9,Default Response Set,Anonymous,nan,nan,168.176.239.33,0,42766.53299,42766.57257,1,B304,Spanish,Colombia,2,2,1,2,3,2,2,2,5,184646.0,44296.0,Easy to read,Correct,Neutral,0,nan
r1p2s2,1,R_1i4kv3KFA4pvfN9,Default Response Set,Anonymous,nan,nan,168.176.239.33,0,42766.53299,42766.57257,1,B304,Spanish,Colombia,2,2,1,2,3,2,2,2,5,140120.0,35075.0,Easy to read,Correct,Somewhat confident,1,nan
r2p2s4,0,R_1i4kv3KFA4pvfN9,Default Response Set,Anonymous,nan,nan,168.176.239.33,0,42766.53299,42766.57257,1,B304,Spanish,Colombia,2,2,1,2,3,2,2,2,5,432388.0,226756.0,Neutral,Correct,Somewhat confident,1,because I do not remember finding a restriction on the length that should be 4
r1p3s3,0,R_1i4kv3KFA4pvfN9,Default Response Set,Anonymous,nan,nan,168.176.239.33,0,42766.53299,42766.57257,1,B304,Spanish,Colombia,2,2,1,2,3,2,2,2,5,154025.0,35660.0,Very easy to read,Incorrect,Somewhat confident,0,nan
r2p3s1,1,R_1i4kv3KFA4pvfN9,Default Response Set,Anonymous,nan,nan,168.176.239.33,0,42766.53299,42766.57257,1,B304,Spanish,Colombia,2,2,1,2,3,2,2,2,5,121580.0,63793.0,Easy to read,Incorrect,Somewhat confident,0,I have not verified that the arrangement had numbers
r1p4s4,0,R_1i4kv3KFA4pvfN9,Default Response Set,Anonymous,nan,nan,168.176.239.33,0,42766.53299,42766.57257,1,B304,Spanish,Colombia,2,2,1,2,3,2,2,2,5,370836.0,98007.0,Difficult to read,Correct,Neutral,0,nan
r2p4s2,1,R_1i4kv3KFA4pvfN9,Default Response Set,Anonymous,nan,nan,168.176.239.33,0,42766.53299,42766.57257,1,B304,Spanish,Colombia,2,2,1,2,3,2,2,2,5,288315.0,253855.0,Difficult to read,Incorrect,Not at all confident,0,I did not have clear the validation of the index at the end and not validate the counter .. no idea
r2p2s4,0,R_2Bz0ugFIdEq3DC2,Default Response Set,Anonymous,nan,nan,190.254.21.244,0,42765.70405,42765.70771,0,546754,Spanish,Colombia,2,1,2,1,3,2,4,1,9,53014.0,nan,nan,nan,nan,0,nan
r1p1s1,1,R_24MlgcasS8SbeCS,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42774.54346,42774.56557,1,B341,Spanish,Colombia,2,2,1,2,4,3,2,1,5,70685.0,56946.0,Very easy to read,Correct,Very confident,1,nan
r2p1s3,0,R_24MlgcasS8SbeCS,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42774.54346,42774.56557,1,B341,Spanish,Colombia,2,2,1,2,4,3,2,1,5,197799.0,38476.0,Very easy to read,Incorrect,Very confident,0,nan
r1p2s2,1,R_24MlgcasS8SbeCS,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42774.54346,42774.56557,1,B341,Spanish,Colombia,2,2,1,2,4,3,2,1,5,101632.0,37977.0,Very easy to read,Correct,Very confident,1,nan
r2p2s4,0,R_24MlgcasS8SbeCS,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42774.54346,42774.56557,1,B341,Spanish,Colombia,2,2,1,2,4,3,2,1,5,197099.0,82892.0,Very easy to read,Correct,Somewhat confident,0,nan
r1p3s3,0,R_24MlgcasS8SbeCS,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42774.54346,42774.56557,1,B341,Spanish,Colombia,2,2,1,2,4,3,2,1,5,100591.0,48689.0,Very easy to read,Incorrect,Very confident,0,nan
r2p3s1,1,R_24MlgcasS8SbeCS,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42774.54346,42774.56557,1,B341,Spanish,Colombia,2,2,1,2,4,3,2,1,5,51940.0,39649.0,Very easy to read,Correct,Very confident,1,nan
r1p4s4,0,R_24MlgcasS8SbeCS,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42774.54346,42774.56557,1,B341,Spanish,Colombia,2,2,1,2,4,3,2,1,5,174570.0,84845.0,Easy to read,Incorrect,Very confident,0,nan
r2p4s2,1,R_24MlgcasS8SbeCS,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42774.54346,42774.56557,1,B341,Spanish,Colombia,2,2,1,2,4,3,2,1,5,87144.0,43600.0,Very easy to read,Correct,Very confident,1,nan
r1p1s1,1,R_3qWI2tOCtoSvF2E,Default Response Set,Anonymous,nan,nan,72.23.187.194,0,42783.815669999996,42783.83044,1,B254,English,USA,2,2,1,2,5,1,3,1,5,61342.0,59977.0,Very easy to read,Correct,Very confident,1,nan
r2p1s3,0,R_3qWI2tOCtoSvF2E,Default Response Set,Anonymous,nan,nan,72.23.187.194,0,42783.815669999996,42783.83044,1,B254,English,USA,2,2,1,2,5,1,3,1,5,70343.0,20297.0,Neutral,Correct,Neutral,0,nan
r1p2s2,1,R_3qWI2tOCtoSvF2E,Default Response Set,Anonymous,nan,nan,72.23.187.194,0,42783.815669999996,42783.83044,1,B254,English,USA,2,2,1,2,5,1,3,1,5,55668.0,26724.0,Very easy to read,Correct,Very confident,1,nan
r2p2s4,0,R_3qWI2tOCtoSvF2E,Default Response Set,Anonymous,nan,nan,72.23.187.194,0,42783.815669999996,42783.83044,1,B254,English,USA,2,2,1,2,5,1,3,1,5,187510.0,35011.0,Very difficult to read,Incorrect,Not very confident,0,nan
r1p3s3,0,R_3qWI2tOCtoSvF2E,Default Response Set,Anonymous,nan,nan,72.23.187.194,0,42783.815669999996,42783.83044,1,B254,English,USA,2,2,1,2,5,1,3,1,5,110107.0,24468.0,Easy to read,Incorrect,Somewhat confident,0,nan
r2p3s1,1,R_3qWI2tOCtoSvF2E,Default Response Set,Anonymous,nan,nan,72.23.187.194,0,42783.815669999996,42783.83044,1,B254,English,USA,2,2,1,2,5,1,3,1,5,32137.0,33345.0,Easy to read,Correct,Neutral,1,nan
r1p4s4,0,R_3qWI2tOCtoSvF2E,Default Response Set,Anonymous,nan,nan,72.23.187.194,0,42783.815669999996,42783.83044,1,B254,English,USA,2,2,1,2,5,1,3,1,5,63674.0,29753.0,Neutral,Incorrect,Neutral,0,nan
r2p4s2,1,R_3qWI2tOCtoSvF2E,Default Response Set,Anonymous,nan,nan,72.23.187.194,0,42783.815669999996,42783.83044,1,B254,English,USA,2,2,1,2,5,1,3,1,5,111969.0,28682.0,Difficult to read,Incorrect,Not very confident,1,nan
r1p1s1,1,R_2otsJg3T9lPdU2d,Default Response Set,Anonymous,nan,nan,66.49.48.11,0,42788.805960000005,42788.82284,1,B246,English,USA,2,2,1,2,5,2,2,1,5,46228.0,35985.0,Very easy to read,Correct,Somewhat confident,1,nan
r2p1s3,0,R_2otsJg3T9lPdU2d,Default Response Set,Anonymous,nan,nan,66.49.48.11,0,42788.805960000005,42788.82284,1,B246,English,USA,2,2,1,2,5,2,2,1,5,158475.0,48347.0,Neutral,Incorrect,Neutral,1,it was comparing the characters to 0 which didnt make very much sense to me
r1p2s2,1,R_2otsJg3T9lPdU2d,Default Response Set,Anonymous,nan,nan,66.49.48.11,0,42788.805960000005,42788.82284,1,B246,English,USA,2,2,1,2,5,2,2,1,5,61037.0,54525.0,Difficult to read,Incorrect,Neutral,0,all comparisons other than 90 should have been &gt; and not &gt;=
r2p2s4,0,R_2otsJg3T9lPdU2d,Default Response Set,Anonymous,nan,nan,66.49.48.11,0,42788.805960000005,42788.82284,1,B246,English,USA,2,2,1,2,5,2,2,1,5,67919.0,45754.0,Easy to read,Incorrect,Not very confident,0,nan
r1p3s3,0,R_2otsJg3T9lPdU2d,Default Response Set,Anonymous,nan,nan,66.49.48.11,0,42788.805960000005,42788.82284,1,B246,English,USA,2,2,1,2,5,2,2,1,5,83311.0,38210.0,Very easy to read,Correct,Very confident,1,does not work when bmi is 18.5
r2p3s1,1,R_2otsJg3T9lPdU2d,Default Response Set,Anonymous,nan,nan,66.49.48.11,0,42788.805960000005,42788.82284,1,B246,English,USA,2,2,1,2,5,2,2,1,5,77030.0,31900.0,Easy to read,Incorrect,Somewhat confident,0,it didnt check the last element in the array
r1p4s4,0,R_2otsJg3T9lPdU2d,Default Response Set,Anonymous,nan,nan,66.49.48.11,0,42788.805960000005,42788.82284,1,B246,English,USA,2,2,1,2,5,2,2,1,5,54897.0,26708.0,Very difficult to read,Incorrect,Not very confident,0,nan
r2p4s2,1,R_2otsJg3T9lPdU2d,Default Response Set,Anonymous,nan,nan,66.49.48.11,0,42788.805960000005,42788.82284,1,B246,English,USA,2,2,1,2,5,2,2,1,5,81633.0,102988.0,Easy to read,Incorrect,Neutral,0,in the do loop i feel that it should have iterated count as well as index so it counts the occurences
r1p1s1,1,R_vvoaZb2iBKvjJ7j,Default Response Set,Anonymous,nan,nan,150.134.234.47,0,42790.37741,42790.39774,1,B389,English,USA,2,2,1,2,5,4,2,2,5,32531.0,20692.0,Easy to read,Incorrect,Somewhat confident,1,nan
r2p1s3,0,R_vvoaZb2iBKvjJ7j,Default Response Set,Anonymous,nan,nan,150.134.234.47,0,42790.37741,42790.39774,1,B389,English,USA,2,2,1,2,5,4,2,2,5,337154.0,72232.0,Neutral,Correct,Neutral,1,Try again does not begin with a value of "y" so the while loop doesn't start.
r1p2s2,1,R_vvoaZb2iBKvjJ7j,Default Response Set,Anonymous,nan,nan,150.134.234.47,0,42790.37741,42790.39774,1,B389,English,USA,2,2,1,2,5,4,2,2,5,53901.0,21088.0,Difficult to read,Correct,Neutral,1,nan
r2p2s4,0,R_vvoaZb2iBKvjJ7j,Default Response Set,Anonymous,nan,nan,150.134.234.47,0,42790.37741,42790.39774,1,B389,English,USA,2,2,1,2,5,4,2,2,5,107365.0,26052.0,Neutral,Incorrect,Neutral,0,nan
r1p3s3,0,R_vvoaZb2iBKvjJ7j,Default Response Set,Anonymous,nan,nan,150.134.234.47,0,42790.37741,42790.39774,1,B389,English,USA,2,2,1,2,5,4,2,2,5,50248.0,12513.0,Very easy to read,Incorrect,Very confident,0,nan
r2p3s1,1,R_vvoaZb2iBKvjJ7j,Default Response Set,Anonymous,nan,nan,150.134.234.47,0,42790.37741,42790.39774,1,B389,English,USA,2,2,1,2,5,4,2,2,5,62180.0,96838.0,Very easy to read,Incorrect,Somewhat confident,0,counter++ was not in the while loop so the while loop will continue forever.
r1p4s4,0,R_vvoaZb2iBKvjJ7j,Default Response Set,Anonymous,nan,nan,150.134.234.47,0,42790.37741,42790.39774,1,B389,English,USA,2,2,1,2,5,4,2,2,5,195541.0,28816.0,Very difficult to read,Incorrect,Not very confident,0,nan
r2p4s2,1,R_vvoaZb2iBKvjJ7j,Default Response Set,Anonymous,nan,nan,150.134.234.47,0,42790.37741,42790.39774,1,B389,English,USA,2,2,1,2,5,4,2,2,5,114327.0,23251.0,Easy to read,Correct,Not very confident,1,nan
r1p1s1,1,R_31nFcVPtVcbLcMN,Default Response Set,Anonymous,nan,nan,168.176.239.31,0,42640.721860000005,42640.746119999996,1, B3,Spanish,Colombia,2,2,2,1,5,4,4,3,6,115110.0,39061.0,Easy to read,Correct,Somewhat confident,1,nan
r2p1s3,0,R_31nFcVPtVcbLcMN,Default Response Set,Anonymous,nan,nan,168.176.239.31,0,42640.721860000005,42640.746119999996,1, B3,Spanish,Colombia,2,2,2,1,5,4,4,3,6,218216.0,43434.0,Neutral,Correct,Somewhat confident,0,nan
r1p2s2,1,R_31nFcVPtVcbLcMN,Default Response Set,Anonymous,nan,nan,168.176.239.31,0,42640.721860000005,42640.746119999996,1, B3,Spanish,Colombia,2,2,2,1,5,4,4,3,6,128536.0,26101.0,Easy to read,Correct,Somewhat confident,1,nan
r2p2s4,0,R_31nFcVPtVcbLcMN,Default Response Set,Anonymous,nan,nan,168.176.239.31,0,42640.721860000005,42640.746119999996,1, B3,Spanish,Colombia,2,2,2,1,5,4,4,3,6,163287.0,2354.0,Neutral,Incorrect,Somewhat confident,0,nan
r1p3s4,0,R_31nFcVPtVcbLcMN,Default Response Set,Anonymous,nan,nan,168.176.239.31,0,42640.721860000005,42640.746119999996,1, B3,Spanish,Colombia,2,2,2,1,5,4,4,3,6,104560.0,8325.0,Easy to read,Correct,Somewhat confident,0,nan
r2p3s2,1,R_31nFcVPtVcbLcMN,Default Response Set,Anonymous,nan,nan,168.176.239.31,0,42640.721860000005,42640.746119999996,1, B3,Spanish,Colombia,2,2,2,1,5,4,4,3,6,127013.0,74268.0,Very easy to read,Correct,Somewhat confident,0,there is not a attribute length there is a method for a int array.
r1p4s3,0,R_31nFcVPtVcbLcMN,Default Response Set,Anonymous,nan,nan,168.176.239.31,0,42640.721860000005,42640.746119999996,1, B3,Spanish,Colombia,2,2,2,1,5,4,4,3,6,48647.0,8791.0,Very easy to read,Incorrect,Somewhat confident,0,nan
r2p4s1,1,R_31nFcVPtVcbLcMN,Default Response Set,Anonymous,nan,nan,168.176.239.31,0,42640.721860000005,42640.746119999996,1, B3,Spanish,Colombia,2,2,2,1,5,4,4,3,6,95450.0,195177.0,Easy to read,Incorrect,Somewhat confident,1,nan
r1p1s1,1,R_3fcykgSJxL4bTAc,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42668.55512,42668.60262,1,B27,Spanish,Colombia,2,2,1,2,3,3,2,1,5,188834.0,185461.0,Easy to read,Correct,Somewhat confident,1,nan
r2p1s3,0,R_3fcykgSJxL4bTAc,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42668.55512,42668.60262,1,B27,Spanish,Colombia,2,2,1,2,3,3,2,1,5,206580.0,80303.0,Neutral,Incorrect,Neutral,0,nan
r1p2s2,1,R_3fcykgSJxL4bTAc,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42668.55512,42668.60262,1,B27,Spanish,Colombia,2,2,1,2,3,3,2,1,5,179346.0,266193.0,Easy to read,Incorrect,Somewhat confident,0,nan
r2p2s4,0,R_3fcykgSJxL4bTAc,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42668.55512,42668.60262,1,B27,Spanish,Colombia,2,2,1,2,3,3,2,1,5,278328.0,199066.0,Neutral,Correct,Very confident,0,nan
r1p3s4,0,R_3fcykgSJxL4bTAc,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42668.55512,42668.60262,1,B27,Spanish,Colombia,2,2,1,2,3,3,2,1,5,171728.0,142161.0,Easy to read,Correct,Very confident,1,When the body mass index has the value of 18.5 the validation of the if is not done because it is not stipulated as greater than or equal to 18.5 so it is not logically correct
r2p3s2,1,R_3fcykgSJxL4bTAc,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42668.55512,42668.60262,1,B27,Spanish,Colombia,2,2,1,2,3,3,2,1,5,320735.0,141030.0,Easy to read,Correct,Somewhat confident,1,nan
r1p4s3,0,R_3fcykgSJxL4bTAc,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42668.55512,42668.60262,1,B27,Spanish,Colombia,2,2,1,2,3,3,2,1,5,108839.0,340842.0,Easy to read,Incorrect,Somewhat confident,1,Depending on how the 0 is taken it should not be considered as a positive number so the validations should only be strictly greater.
r2p4s1,1,R_3fcykgSJxL4bTAc,Default Response Set,Anonymous,nan,nan,168.176.239.32,0,42668.55512,42668.60262,1,B27,Spanish,Colombia,2,2,1,2,3,3,2,1,5,116542.0,144082.0,Easy to read,Incorrect,Somewhat confident,0,although you can take the space with your ASCII code you do not clearly specify what to do if that case happens it would be clearer if the method is specified
